latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,bright_t31
37.96767,-90.07826,312.5,0.32,0.55,2025-01-27,709,N20,VIIRS,n,2.0NRT,270.55,1.32,N,,
38.00752,-90.08261,304.44,0.32,0.55,2025-01-27,709,N20,VIIRS,n,2.0NRT,268.76,1.25,N,,
38.00856,-90.08138,304.12,0.32,0.55,2025-01-27,709,N20,VIIRS,n,2.0NRT,269.2,1.23,N,,
38.00882,-90.08506,296.51,0.32,0.55,2025-01-27,709,N20,VIIRS,n,2.0NRT,266.95,1.22,N,,
37.96732,-90.08167,302.32,0.55,0.68,2025-01-27,849,N20,VIIRS,n,2.0NRT,266.17,1.57,N,,
38.00726,-90.08463,296.37,0.54,0.68,2025-01-27,849,N20,VIIRS,n,2.0NRT,266.87,0.92,N,,
35.53743,-101.89841,324.84,0.47,0.39,2025-01-27,852,N20,VIIRS,n,2.0NRT,267.29,3.61,N,,
36.19338,-95.81114,297.9,0.6,0.53,2025-01-27,852,N20,VIIRS,n,2.0NRT,269.1,1.7,N,,
33.96099,-98.29488,328.16,0.66,0.73,2025-01-27,1830,N20,VIIRS,n,2.0NRT,285.29,3.94,D,,
33.97285,-97.00302,325.51,0.56,0.69,2025-01-27,1830,N20,VIIRS,n,2.0NRT,280.89,2.77,D,,
35.36538,-92.41993,327.2,0.58,0.52,2025-01-27,1830,N20,VIIRS,n,2.0NRT,286.19,4.43,D,,
35.36551,-92.42055,325.87,0.58,0.52,2025-01-27,1830,N20,VIIRS,n,2.0NRT,286.2,2.48,D,,
35.56861,-91.26257,342.02,0.5,0.49,2025-01-27,1830,N20,VIIRS,n,2.0NRT,287.61,7.93,D,,
35.71911,-93.55281,332.26,0.33,0.55,2025-01-27,1830,N20,VIIRS,n,2.0NRT,286.69,13.34,D,,
35.72001,-93.54919,367.0,0.33,0.55,2025-01-27,1830,N20,VIIRS,h,2.0NRT,294.26,13.34,D,,
35.75725,-93.52772,328.38,0.33,0.55,2025-01-27,1830,N20,VIIRS,n,2.0NRT,284.82,4.14,D,,
35.75805,-93.52444,356.31,0.33,0.55,2025-01-27,1830,N20,VIIRS,l,2.0NRT,285.07,4.14,D,,
35.96011,-91.36977,351.4,0.5,0.49,2025-01-27,1830,N20,VIIRS,n,2.0NRT,286.65,8.94,D,,
36.08847,-92.13226,337.31,0.54,0.51,2025-01-27,1830,N20,VIIRS,n,2.0NRT,284.65,5.85,D,,
36.12965,-91.6404,331.05,0.51,0.49,2025-01-27,1830,N20,VIIRS,n,2.0NRT,285.85,5.24,D,,
36.21288,-91.48222,334.07,0.5,0.49,2025-01-27,1830,N20,VIIRS,n,2.0NRT,284.91,3.67,D,,
36.68811,-89.23246,329.25,0.56,0.43,2025-01-27,1830,N20,VIIRS,n,2.0NRT,285.58,6.69,D,,
35.46299,-97.95157,326.44,0.58,0.7,2025-01-27,1832,N20,VIIRS,n,2.0NRT,284.54,2.4,D,,
35.46593,-97.95298,326.43,0.58,0.7,2025-01-27,1832,N20,VIIRS,n,2.0NRT,285.23,2.54,D,,
35.65823,-96.06781,327.96,0.45,0.63,2025-01-27,1832,N20,VIIRS,n,2.0NRT,282.61,2.21,D,,
35.66648,-99.91055,328.81,0.73,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,287.97,8.28,D,,
35.66668,-99.91087,336.71,0.73,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,288.86,8.47,D,,
35.67311,-99.91329,326.82,0.73,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,288.8,9.04,D,,
35.67332,-99.91358,327.66,0.73,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,288.07,8.47,D,,
35.67538,-99.90594,340.34,0.73,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,286.05,9.04,D,,
35.67562,-99.90623,338.29,0.72,0.76,2025-01-27,1832,N20,VIIRS,n,2.0NRT,285.27,14.02,D,,
35.84237,-97.43331,340.75,0.53,0.67,2025-01-27,1832,N20,VIIRS,n,2.0NRT,284.59,4.55,D,,
